Date,Open,High,Low,Close,Adj Close,Volume
2016-10-06,0.009667,0.009676,0.009602,0.009666,0.009666,0
2016-10-07,0.009638,0.009721,0.009617,0.009637,0.009637,0
2016-10-10,0.009703,0.009726,0.009639,0.009707,0.009707,0
2016-10-11,0.009640,0.009679,0.009609,0.009643,0.009643,0
2016-10-12,0.009680,0.009681,0.009572,0.009677,0.009677,0
2016-10-13,0.009586,0.009675,0.009559,0.009587,0.009587,0
2016-10-14,0.009638,0.009646,0.009573,0.009641,0.009641,0
2016-10-17,0.009608,0.009624,0.009583,0.009612,0.009612,0
2016-10-18,0.009628,0.009644,0.009598,0.009629,0.009629,0
2016-10-19,0.009627,0.009692,0.009621,0.009628,0.009628,0
2016-10-20,0.009668,0.009670,0.009609,0.009672,0.009672,0
2016-10-21,0.009603,0.009660,0.009597,0.009605,0.009605,0
2016-10-24,0.009624,0.009641,0.009588,0.009623,0.009623,0
2016-10-25,0.009589,0.009592,0.009536,0.009586,0.009586,0
2016-10-26,0.009602,0.009613,0.009572,0.009601,0.009601,0
2016-10-27,0.009563,0.009585,0.009510,0.009564,0.009564,0
2016-10-28,0.009503,0.009518,0.009479,0.009505,0.009505,0
2016-10-31,0.009563,0.009566,0.009504,0.009563,0.009563,0
2016-11-01,0.009539,0.009573,0.009513,0.009540,0.009540,0
2016-11-02,0.009608,0.009699,0.009601,0.009607,0.009607,0
2016-11-03,0.009672,0.009749,0.009668,0.009673,0.009673,0
2016-11-04,0.009704,0.009724,0.009677,0.009704,0.009704,0
2016-11-07,0.009599,0.009630,0.009558,0.009597,0.009597,0
2016-11-08,0.009574,0.009588,0.009540,0.009575,0.009575,0
2016-11-09,0.009524,0.009881,0.009486,0.009521,0.009521,0
2016-11-10,0.009447,0.009522,0.009351,0.009447,0.009447,0
2016-11-11,0.009363,0.009429,0.009353,0.009358,0.009358,0
2016-11-14,0.009358,0.009358,0.009219,0.009357,0.009357,0
2016-11-15,0.009240,0.009277,0.009176,0.009242,0.009242,0
2016-11-16,0.009174,0.009190,0.009112,0.009171,0.009171,0
2016-11-17,0.009193,0.009210,0.009123,0.009192,0.009192,0
2016-11-18,0.009071,0.009106,0.009019,0.009070,0.009070,0
2016-11-21,0.009015,0.009049,0.008996,0.009011,0.009011,0
2016-11-22,0.009035,0.009067,0.008980,0.009038,0.009038,0
2016-11-23,0.009009,0.009020,0.008854,0.009009,0.009009,0
2016-11-24,0.008888,0.008895,0.008810,0.008882,0.008882,0
2016-11-25,0.008828,0.008880,0.008780,0.008827,0.008827,0
2016-11-28,0.008877,0.008977,0.008868,0.008877,0.008877,0
2016-11-29,0.008952,0.008952,0.008826,0.008953,0.008953,0
2016-11-30,0.008889,0.008923,0.008776,0.008891,0.008891,0
2016-12-01,0.008721,0.008784,0.008717,0.008719,0.008719,0
2016-12-02,0.008779,0.008823,0.008760,0.008779,0.008779,0
2016-12-05,0.008809,0.008823,0.008713,0.008810,0.008810,0
2016-12-06,0.008781,0.008809,0.008759,0.008782,0.008782,0
2016-12-07,0.008766,0.008809,0.008742,0.008768,0.008768,0
2016-12-08,0.008790,0.008834,0.008744,0.008794,0.008794,0
2016-12-09,0.008767,0.008770,0.008676,0.008766,0.008766,0
2016-12-12,0.008663,0.008684,0.008615,0.008665,0.008665,0
2016-12-13,0.008696,0.008713,0.008660,0.008696,0.008696,0
2016-12-14,0.008681,0.008712,0.008673,0.008679,0.008679,0
2016-12-15,0.008530,0.008532,0.008428,0.008532,0.008532,0
2016-12-16,0.008455,0.008480,0.008446,0.008457,0.008457,0
2016-12-19,0.008488,0.008558,0.008487,0.008490,0.008490,0
2016-12-20,0.008544,0.008547,0.008458,0.008544,0.008544,0
2016-12-21,0.008489,0.008539,0.008471,0.008484,0.008484,0
2016-12-22,0.008502,0.008524,0.008485,0.008503,0.008503,0
2016-12-23,0.008506,0.008534,0.008506,0.008508,0.008508,0
2016-12-26,0.008524,0.008547,0.008524,0.008524,0.008524,0
2016-12-27,0.008534,0.008534,0.008503,0.008533,0.008533,0
2016-12-28,0.008512,0.008519,0.008489,0.008512,0.008512,0
2016-12-29,0.008544,0.008603,0.008544,0.008541,0.008541,0
2016-12-30,0.008597,0.008612,0.008533,0.008601,0.008601,0
2017-01-02,0.008561,0.008567,0.008512,0.008562,0.008562,0
2017-01-03,0.008512,0.008526,0.008432,0.008511,0.008511,0
