Date, Close/Last, Volume, Open, High, Low
5/2/2018,1305.6,350840,1304.4,1314.9,1304.3
5/1/2018,1306.8,267336,1316,1317.4,1302.3
4/30/2018,1319.2,287438,1324,1325.9,1310.7
4/27/2018,1323.4,232724,1318,1326.4,1315.8
4/26/2018,1317.9,285847,1324.2,1328,1316.2
4/25/2018,1322.8,256659,1332,1333.8,1320.2
4/24/2018,1333,267707,1326.1,1334.5,1323.6
4/23/2018,1324,276592,1336.2,1337.6,1323.8
4/20/2018,1338.3,269829,1348.5,1348.9,1337
4/19/2018,1348.8,325544,1352.4,1357.7,1343.2
4/18/2018,1353.5,298749,1350.4,1359,1345
4/17/2018,1349.5,267744,1349.1,1352.2,1340.2
4/16/2018,1350.7,258382,1349.8,1353.5,1342.8
4/13/2018,1347.9,253937,1337.6,1350.3,1335.5
4/12/2018,1341.9,374672,1356.3,1356.7,1336.7
4/11/2018,1360,467541,1343.1,1369.4,1342.5
4/10/2018,1345.9,278138,1339.8,1346.2,1334.2
4/9/2018,1340.1,222038,1338,1341.5,1330.1
4/6/2018,1336.1,361181,1329.7,1339.1,1322.6
4/5/2018,1328.5,266243,1337.1,1338.7,1326
4/4/2018,1340.2,334886,1336.7,1352.5,1335.2
4/3/2018,1337.3,276654,1345,1346.6,1332.7
4/2/2018,1352.9,4979,1336.3,1355.1,1335.1
3/29/2018,1327.3,235348,1329.3,1332.6,1325.4
3/28/2018,1330,358319,1351.1,1352.2,1327.7
3/27/2018,1347.9,24159,1351.1,1352.2,1347.9
3/26/2018,1360.9,187073,1350.6,1361.8,1349.2
3/23/2018,1355.7,124800,1335.5,1356.3,1334.7
3/22/2018,1333.2,70121,1338,1340.8,1330.3
3/21/2018,1321.5,451237,1310.6,1336.9,1309.5
3/20/2018,1311.9,281146,1316.5,1318.1,1306.6
3/19/2018,1317.8,283944,1312.9,1319.6,1307.4
3/16/2018,1312.3,277568,1316.8,1321.8,1309.5
3/15/2018,1317.8,241746,1324.7,1328.1,1314.9
3/14/2018,1325.6,247027,1326.7,1330.5,1321.7
3/13/2018,1327.1,321790,1323.3,1328.8,1313.8
